yyyy-mm-dd,Daily Minimum Near-Surface Air Temperature(K),Daily Maximum Near-Surface Air Temperature(K),Daily Mean Near-Surface Specific Humidity(kgkg-1),vpd(kPa),Precipitation(mm)
2006/1/1,283.398926,293.986755,0.00915,0.47,1.09897
2006/1/2,279.79361,291.428253,0.00757,0.39,1.960552
2006/1/3,275.975372,283.47406,0.003914,0.4,8.333006
2006/1/4,269.891174,278.23938,0.003576,0.13,8.629661
2006/1/5,264.457336,271.953064,0.001893,0.15,0.496073
2006/1/6,263.986053,276.765503,0.001925,0.25,0
2006/1/7,269.575226,277.054535,0.003242,0.14,1.792783
2006/1/8,270.331268,279.998169,0.003573,0.2,0.493373
2006/1/9,270.639709,286.640259,0.003626,0.47,2.436421
2006/1/10,273.094452,278.894135,0.005915,0,8.399235
2006/1/11,267.23291,275.38623,0.002572,0.16,0.915897
2006/1/12,263.813171,270.631592,0.001615,0.16,0
2006/1/13,264.524475,270.101196,0.001827,0.12,0.604175
2006/1/14,256.81955,270.258636,0.001665,0.08,0.879407
2006/1/15,252.054565,261.69632,0.000652,0.08,0.581196
2006/1/16,256.475464,270.446716,0.00098,0.18,0
2006/1/17,262.954041,274.043793,0.001476,0.24,0
2006/1/18,263.409576,275.653931,0.001736,0.25,0
2006/1/19,267.359192,272.565247,0.002123,0.17,1.938465
2006/1/20,268.87323,274.48584,0.00248,0.18,0.473886
2006/1/21,266.803528,274.756409,0.002146,0.2,0
2006/1/22,271.810028,276.647522,0.002443,0.3,12.111198
2006/1/23,270.303772,274.154449,0.002945,0.13,0.463402
2006/1/24,267.409515,280.079773,0.004239,0.05,10.455656
2006/1/25,272.186005,287.668427,0.002823,0.68,11.864202
2006/1/26,266.492798,275.542999,0.001928,0.25,0
2006/1/27,264.49231,271.658478,0.001815,0.16,0
2006/1/28,259.86673,267.168793,0.001192,0.12,0.686219
2006/1/29,265.702545,277.782776,0.002272,0.25,0.529177
2006/1/30,269.545135,278.333466,0.002782,0.25,0
2006/1/31,261.10379,271.879883,0.00151,0.17,0
2006/2/1,260.266937,268.643494,0.001304,0.13,0
2006/2/2,261.035065,275.4664,0.001594,0.24,0
2006/2/3,269.038971,277.401367,0.001869,0.35,0
2006/2/4,271.478516,279.726349,0.003241,0.26,7.483992
2006/2/5,270.615814,282.732452,0.003607,0.3,5.916436
2006/2/6,264.923431,276.940369,0.00209,0.25,0
2006/2/7,268.058167,278.274017,0.002362,0.29,0.716323
2006/2/8,267.041168,282.25354,0.003023,0.31,1.605086
2006/2/9,277.155396,285.087341,0.004904,0.36,8.353321
2006/2/10,276.248444,282.663391,0.003589,0.43,37.17202
2006/2/11,267.670776,278.872894,0.002672,0.25,1.161839
2006/2/12,263.779083,279.274353,0.002237,0.28,0
2006/2/13,269.02179,281.155731,0.002778,0.34,0
2006/2/14,266.684143,277.39563,0.001992,0.3,0.730949
2006/2/15,264.450531,276.467224,0.001878,0.26,0
2006/2/16,268.564362,280.863251,0.002617,0.34,0.485918
2006/2/17,274.87619,285.449524,0.004272,0.41,3.6378
2006/2/18,276.174927,286.453766,0.004165,0.51,0
2006/2/19,276.226471,286.927765,0.004269,0.52,0.313255
2006/2/20,279.767334,286.742279,0.005896,0.37,0
2006/2/21,276.312592,288.129242,0.00481,0.5,2.30778
2006/2/22,269.823792,287.523651,0.003726,0.49,1.457697
2006/2/23,274.851379,285.486053,0.004199,0.42,2.369255
2006/2/24,265.872498,276.043304,0.002188,0.22,0
2006/2/25,264.694916,278.792419,0.001705,0.36,0
2006/2/26,269.403656,284.800293,0.002558,0.53,0
2006/2/27,272.007294,284.93634,0.003394,0.45,0
2006/2/28,274.926483,289.24646,0.003851,0.67,0
2006/3/1,274.975372,289.721313,0.003845,0.71,0
2006/3/2,282.68811,293.633759,0.006162,0.86,0.981317
2006/3/3,282.837585,293.493103,0.006762,0.77,0
2006/3/4,287.8703,298.370148,0.007653,1.28,1.704284
2006/3/5,272.583618,285.859375,0.007337,0,6.005215
2006/3/6,271.44696,285.958069,0.003973,0.4,0.412884
2006/3/7,265.726379,284.429016,0.002003,0.54,0
2006/3/8,276.773621,292.769196,0.005526,0.7,10.929641
2006/3/9,271.115814,287.341003,0.003417,0.55,0.828504
2006/3/10,266.22345,275.06839,0.001576,0.29,0
2006/3/11,265.340454,281.843445,0.001814,0.46,0
2006/3/12,270.93512,279.70105,0.00357,0.2,3.433858
2006/3/13,269.750092,278.805115,0.004437,0.02,8.255143
2006/3/14,277.830536,280.75882,0.004902,0.2,1.12893
2006/3/15,277.9151,289.252838,0.004478,0.66,0
2006/3/16,269.221619,286.004578,0.002684,0.56,0
2006/3/17,274.509888,284.958679,0.003309,0.52,22.141472
2006/3/18,270.129608,274.86618,0.00266,0.18,1.029995
2006/3/19,270.6586,279.773956,0.002565,0.35,0
2006/3/20,270.137512,277.9711,0.002891,0.23,14.709587
2006/3/21,268.823212,277.479126,0.003735,0.07,39.897366
2006/3/22,268.395477,273.24826,0.002273,0.17,1.570007
2006/3/23,265.935822,273.165588,0.002194,0.15,0.36795
2006/3/24,265.264954,279.501862,0.002026,0.34,0
2006/3/25,267.68045,281.395203,0.002464,0.37,1.10287
2006/3/26,273.172638,279.292145,0.003408,0.26,0
2006/3/27,265.920593,281.699371,0.00212,0.41,0
2006/3/28,271.511627,283.280914,0.00338,0.37,3.397503
2006/3/29,274.259857,283.233002,0.00398,0.34,1.306817
2006/3/30,272.230621,283.44458,0.003735,0.34,2.672952
2006/3/31,274.279999,283.350891,0.004231,0.31,0.853202
2006/4/1,268.665039,276.701355,0.002323,0.26,0
2006/4/2,268.079224,282.750214,0.002947,0.36,1.128751
2006/4/3,275.601837,284.249481,0.00489,0.28,4.251667
2006/4/4,274.522766,282.907196,0.004068,0.32,0
2006/4/5,269.323364,279.234772,0.002522,0.31,0
2006/4/6,267.664093,286.098175,0.002569,0.56,0
2006/4/7,272.297913,290.454803,0.003452,0.75,0
2006/4/8,280.743011,288.494385,0.006248,0.44,14.432452
2006/4/9,277.144165,286.101379,0.005362,0.33,5.051681
2006/4/10,273.489655,283.725555,0.003664,0.39,0
2006/4/11,271.140625,289.395081,0.003529,0.65,0
2006/4/12,275.996643,299.927795,0.004424,1.46,0
2006/4/13,278.412872,299.362122,0.00571,1.28,0
2006/4/14,279.826569,291.711182,0.007059,0.49,4.245108
2006/4/15,278.447418,286.687195,0.006292,0.26,0
2006/4/16,277.790619,292.633759,0.007796,0.37,5.485142
2006/4/17,281.824768,298.840363,0.007155,1.13,0
2006/4/18,277.740204,285.532257,0.006136,0.21,8.213355
2006/4/19,275.885956,294.551575,0.004926,0.9,0
2006/4/20,277.609985,301.102112,0.007161,1.22,1.336969
2006/4/21,286.932434,298.59964,0.009413,0.99,8.136663
2006/4/22,282.758606,292.944855,0.007605,0.6,0.737373
2006/4/23,277.73056,290.066956,0.006174,0.45,0.319374
2006/4/24,273.746887,282.611267,0.003016,0.45,4.119351
2006/4/25,273.388702,284.440765,0.003925,0.38,0.361144
2006/4/26,269.895477,285.262756,0.004201,0.31,1.443222
2006/4/27,273.614105,284.426056,0.004259,0.33,0.318092
2006/4/28,273.11557,289.441742,0.00372,0.66,0
2006/4/29,274.656647,282.646393,0.003573,0.39,0
2006/4/30,268.827271,283.147369,0.002315,0.48,0
2006/5/1,268.684174,288.307983,0.00279,0.66,0
2006/5/2,277.187408,289.682129,0.005486,0.51,18.312624
2006/5/3,277.054352,283.180389,0.005671,0.15,8.844383
