date,Daily Minimum Near-Surface Air Temperature(K),Daily Maximum Near-Surface Air Temperature(K),Daily Mean Near-Surface Specific Humidity(kgkg-1),vpd(kPa),Precipitation(mm)
2019/1/1,263.487579,276.405823,0.00132,0.33,0
2019/1/2,274.29541,280.020996,0.003577,0.28,6.425967
2019/1/3,267.224609,273.682465,0.002313,0.16,0.835207
2019/1/4,267.835999,274.796814,0.002835,0.12,0
2019/1/5,268.732574,279.523895,0.00284,0.27,0
2019/1/6,270.357056,276.26059,0.003131,0.15,0.706627
2019/1/7,266.923157,274.292419,0.002235,0.18,0.495538
2019/1/8,267.109589,274.482208,0.00231,0.18,6.564832
2019/1/9,272.811005,281.303833,0.004204,0.2,2.660383
2019/1/10,270.996552,277.997345,0.003347,0.18,1.127021
2019/1/11,267.752167,280.69281,0.003736,0.15,1.02838
2019/1/12,262.314178,269.45462,0.001178,0.19,0
2019/1/13,262.682831,271.416168,0.001759,0.14,2.295554
2019/1/14,267.115814,274.160217,0.002844,0.09,15.050167
2019/1/15,255.422974,267.826874,0.000964,0.13,0
2019/1/16,254.427399,268.613129,0.00108,0.12,0
2019/1/17,264.200195,272.001587,0.00183,0.16,0
2019/1/18,261.636688,268.021362,0.001811,0.06,0
2019/1/19,253.630157,263.700378,0.000746,0.1,0
2019/1/20,250.63591,267.221252,0.000691,0.14,0
2019/1/21,258.173279,273.097717,0.001512,0.17,0
2019/1/22,261.105988,268.843903,0.001726,0.08,0
2019/1/23,255.135178,269.626892,0.00113,0.14,0
2019/1/24,258.014069,272.641785,0.001514,0.16,0
2019/1/25,266.202637,273.350342,0.002055,0.18,0.656963
2019/1/26,266.20517,271.610382,0.002214,0.12,0.583378
2019/1/27,255.864365,268.788208,0.001475,0.07,0
2019/1/28,270.750366,279.087708,0.002498,0.34,13.045615
2019/1/29,272.400726,276.614319,0.003596,0.13,8.941151
2019/1/30,266.134705,276.032013,0.003763,0,5.724942
2019/1/31,266.205505,272.711731,0.002399,0.11,3.320531
2019/2/1,260.031647,270.908173,0.001555,0.13,0.414105
2019/2/2,259.091675,267.54834,0.001197,0.12,0
2019/2/3,257.297485,271.413391,0.001292,0.16,1.163431
2019/2/4,264.365143,272.908325,0.002372,0.09,4.375941
2019/2/5,269.227722,277.701599,0.00199,0.35,10.616999
2019/2/6,264.073273,277.341278,0.00237,0.2,9.757532
2019/2/7,260.310913,273.488373,0.001567,0.19,0
2019/2/8,261.620178,271.61145,0.0018,0.12,0.308394
2019/2/9,262.886353,270.978058,0.002023,0.09,4.243074
2019/2/10,259.660767,271.31842,0.001463,0.15,0
2019/2/11,259.591736,274.230408,0.001312,0.24,0
2019/2/12,272.160706,274.991791,0.002176,0.3,20.424665
2019/2/13,260.213013,274.171661,0.002119,0.12,3.26496
2019/2/14,257.571442,267.867554,0.001176,0.12,0
2019/2/15,266.194641,274.706177,0.002378,0.16,0.315171
2019/2/16,260.911835,271.715851,0.001605,0.15,0.742906
2019/2/17,264.599335,274.692841,0.002453,0.13,2.05915
2019/2/18,261.636169,275.413727,0.001783,0.21,0
2019/2/19,269.08255,282.312622,0.002793,0.38,0
2019/2/20,269.088745,286.287933,0.003025,0.52,0
2019/2/21,275.230133,286.567535,0.004274,0.47,0
2019/2/22,270.874878,282.718689,0.00389,0.26,0
2019/2/23,267.020355,273.861877,0.002126,0.19,0.469268
2019/2/24,264.841187,275.022583,0.002183,0.18,7.551173
2019/2/25,259.686768,274.135986,0.001743,0.17,0.356123
2019/2/26,262.233795,277.317596,0.002308,0.19,0
2019/2/27,275.149872,285.076324,0.004136,0.42,2.079885
2019/2/28,279.242889,286.527344,0.004898,0.49,4.662692
2019/3/1,281.915802,287.763519,0.005969,0.49,7.467287
2019/3/2,279.157867,287.778046,0.005967,0.39,11.897663
2019/3/3,271.264343,286.259583,0.00291,0.58,0
2019/3/4,272.757782,286.36972,0.002936,0.61,0
2019/3/5,274.323547,275.08606,0.005879,0,8.982298
2019/3/6,275.490173,284.255585,0.004159,0.39,0.830432
2019/3/7,269.659058,287.186462,0.002383,0.67,0
2019/3/8,275.968323,292.384369,0.00417,0.85,0.815638
2019/3/9,288.27594,292.350922,0.00682,0.94,5.933883
2019/3/10,269.435181,285.812317,0.002702,0.55,0
2019/3/11,267.422028,288.176605,0.002439,0.68,0
2019/3/12,272.08371,293.125702,0.003083,0.98,0
2019/3/13,275.751801,290.88913,0.003698,0.82,1.700815
2019/3/14,274.309174,278.776428,0.004822,0.05,16.565554
2019/3/15,269.154816,279.646332,0.002364,0.35,0.40234
2019/3/16,264.284058,273.3508,0.001789,0.19,13.961604
2019/3/17,271.91983,277.480743,0.003294,0.19,3.560288
2019/3/18,273.116821,281.937378,0.003235,0.38,1.626494
2019/3/19,271.934875,279.265045,0.003185,0.26,0.513619
2019/3/20,270.647186,277.879517,0.003215,0.19,4.117597
2019/3/21,268.910431,282.628082,0.002973,0.36,0
2019/3/22,271.458954,289.453888,0.003812,0.62,0.470998
2019/3/23,283.908264,288.030243,0.005466,0.66,3.055753
2019/3/24,274.601257,281.827759,0.003998,0.29,0.847536
2019/3/25,268.906708,281.945465,0.002175,0.46,0
2019/3/26,273.273468,288.018921,0.003409,0.63,2.97473
